Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	16:55 0/0/2019	126
jain	16:55 0/0/2019	189
Jim	16:57 0/0/2019	153
jain	1:3 0/3/2019	162
Jim	1:3 0/3/2019	138
Tom	23:7 1/0/2019	135
TomH	23:7 1/0/2019	130
jain	23:13 1/0/2019	179
weeee	23:13 1/0/2019	117
Lana	1:43 1/1/2019	115
TomH	1:43 1/1/2019	117
jain	1:58 1/1/2019	150
weeee	1:58 1/1/2019	99
Lana	16:52 1/6/2019	137
Jim	16:52 1/6/2019	85
Lana	16:52 1/6/2019	107
TomH	16:52 1/6/2019	127
weeee	23:1 1/6/2019	148
jain	23:1 1/6/2019	138
weeee	0:32 1/0/2019	153
jain	0:32 1/0/2019	105
weeee	11:57 1/0/2019	121
jain	11:57 1/0/2019	103
Tom	12:2 1/0/2019	125
weeee	12:2 1/0/2019	153
jain	12:20 1/0/2019	145
weeee	12:20 1/0/2019	115
weeee	13:29 1/0/2019	6
jain	13:29 1/0/2019	32
jain	15:51 1/0/2019	118
weeee	15:51 1/0/2019	131
weeee	15:52 1/0/2019	122
jain	15:52 1/0/2019	136
weeee	16:36 1/0/2019	123
jain	16:36 1/0/2019	112
weeee	16:37 1/0/2019	119
jain	16:37 1/0/2019	117
weeee	6:15 1/1/2019	142
jain	6:15 1/1/2019	145
weeee	19:38 2/5/2019	124
jain	19:38 2/5/2019	117
TomH	19:38 2/5/2019	92
Lana	19:38 2/5/2019	116
TomH	19:46 2/5/2019	111
Lana	19:46 2/5/2019	114
Tom	19:46 2/5/2019	121
Lana	19:58 2/5/2019	90
jain	19:58 2/5/2019	110
jain	20:7 2/5/2019	3
weeee	20:7 2/5/2019	0
weeee	20:11 2/5/2019	4
jain	20:11 2/5/2019	1
weeee	20:13 2/5/2019	10
jain	20:13 2/5/2019	14
weeee	22:6 2/5/2019	5
jain	22:6 2/5/2019	5
jain	22:35 2/5/2019	119
weeee	22:35 2/5/2019	111
weeee	22:39 2/5/2019	149
jain	22:39 2/5/2019	138
TomH	22:39 2/5/2019	102
Lana	22:39 2/5/2019	122
Tom	22:39 2/5/2019	100
Jim	22:39 2/5/2019	110
weeee	1:11 2/0/2019	122
jain	1:11 2/0/2019	113
weeee	3:34 2/0/2019	125
jain	3:35 2/0/2019	157
weeee	3:47 2/0/2019	125
jain	3:47 2/0/2019	175
TomH	3:47 2/0/2019	182
TomH	3:47 2/0/2019	37
jain	3:48 2/0/2019	24
TomH	15:23 2/0/2019	119
weeee	15:23 2/0/2019	100
jain	15:23 2/0/2019	178
Tom	15:23 2/0/2019	110
jain	15:24 2/0/2019	37
TomH	15:24 2/0/2019	48
jain	4:52 2/1/2019	84
weeee	4:52 2/1/2019	86
TomH	4:52 2/1/2019	65
